統計年月,區域別,村里,戶數,人口數,人口數-男,人口數-女,0歲-男,0歲-女,1歲-男,1歲-女,2歲-男,2歲-女,3歲-男,3歲-女,4歲-男,4歲-女,5歲-男,5歲-女,6歲-男,6歲-女,7歲-男,7歲-女,8歲-男,8歲-女,9歲-男,9歲-女,10歲-男,10歲-女,11歲-男,11歲-女,12歲-男,12歲-女,13歲-男,13歲-女,14歲-男,14歲-女,15歲-男,15歲-女,16歲-男,16歲-女,17歲-男,17歲-女,18歲-男,18歲-女,19歲-男,19歲-女,20歲-男,20歲-女,21歲-男,21歲-女,22歲-男,22歲-女,23歲-男,23歲-女,24歲-男,24歲-女,25歲-男,25歲-女,26歲-男,26歲-女,27歲-男,27歲-女,28歲-男,28歲-女,29歲-男,29歲-女,30歲-男,30歲-女,31歲-男,31歲-女,32歲-男,32歲-女,33歲-男,33歲-女,34歲-男,34歲-女,35歲-男,35歲-女,36歲-男,36歲-女,37歲-男,37歲-女,38歲-男,38歲-女,39歲-男,39歲-女,40歲-男,40歲-女,41歲-男,41歲-女,42歲-男,42歲-女,43歲-男,43歲-女,44歲-男,44歲-女,45歲-男,45歲-女,46歲-男,46歲-女,47歲-男,47歲-女,48歲-男,48歲-女,49歲-男,49歲-女,50歲-男,50歲-女,51歲-男,51歲-女,52歲-男,52歲-女,53歲-男,53歲-女,54歲-男,54歲-女,55歲-男,55歲-女,56歲-男,56歲-女,57歲-男,57歲-女,58歲-男,58歲-女,59歲-男,59歲-女,60歲-男,60歲-女,61歲-男,61歲-女,62歲-男,62歲-女,63歲-男,63歲-女,64歲-男,64歲-女,65歲-男,65歲-女,66歲-男,66歲-女,67歲-男,67歲-女,68歲-男,68歲-女,69歲-男,69歲-女,70歲-男,70歲-女,71歲-男,71歲-女,72歲-男,72歲-女,73歲-男,73歲-女,74歲-男,74歲-女,75歲-男,75歲-女,76歲-男,76歲-女,77歲-男,77歲-女,78歲-男,78歲-女,79歲-男,79歲-女,80歲-男,80歲-女,81歲-男,81歲-女,82歲-男,82歲-女,83歲-男,83歲-女,84歲-男,84歲-女,85歲-男,85歲-女,86歲-男,86歲-女,87歲-男,87歲-女,88歲-男,88歲-女,89歲-男,89歲-女,90歲-男,90歲-女,91歲-男,91歲-女,92歲-男,92歲-女,93歲-男,93歲-女,94歲-男,94歲-女,95歲-男,95歲-女,96歲-男,96歲-女,97歲-男,97歲-女,98歲-男,98歲-女,99歲-男,99歲-女,100歲以上-男,100歲以上-女,
10308,南投縣國姓鄉,乾溝村,359,997,544,453,1,1,1,1,3,6,3,3,1,0,2,2,1,4,4,1,1,4,4,0,8,1,2,3,2,3,2,2,3,2,2,4,4,3,9,8,7,4,5,4,8,3,8,5,13,10,6,8,9,5,8,7,6,7,2,4,6,0,10,4,10,7,6,5,8,3,3,3,7,5,5,5,6,3,8,13,8,10,5,8,9,7,6,4,11,4,3,4,6,9,10,7,14,10,17,4,15,5,11,8,10,2,9,10,10,9,13,7,13,4,6,11,6,7,9,7,13,6,12,7,14,3,5,5,8,7,9,5,5,10,10,9,5,6,4,4,6,4,0,8,4,5,2,5,7,6,5,11,3,4,4,4,4,11,3,6,4,4,1,3,3,3,4,1,4,3,3,6,5,4,2,4,2,0,2,3,3,2,2,0,1,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
10308,南投縣國姓鄉,北山村,642,1837,988,849,6,2,6,6,8,10,7,2,6,7,8,3,2,0,5,9,7,5,5,2,8,6,2,8,10,4,11,6,11,8,12,3,10,10,7,11,19,9,17,17,16,8,13,10,14,16,8,13,11,13,16,13,7,16,6,7,11,11,15,19,16,12,9,9,16,12,10,9,15,12,10,10,14,10,14,16,17,11,10,6,6,18,16,12,15,11,15,9,15,10,20,10,16,11,23,8,15,17,23,15,21,13,18,13,20,8,18,14,15,10,17,13,18,11,14,15,18,18,12,9,19,4,10,9,17,15,10,12,19,9,5,7,10,9,6,14,8,10,8,8,6,13,11,4,7,9,10,12,16,13,4,8,9,10,17,15,4,2,4,12,7,7,1,4,7,4,4,7,4,5,2,2,5,3,2,5,2,2,1,3,0,2,0,2,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
10308,南投縣國姓鄉,北港村,848,2234,1224,1010,4,6,5,7,7,5,10,3,6,6,10,5,3,4,4,5,8,4,8,9,7,4,11,8,8,10,11,11,12,7,7,9,12,13,15,11,21,11,7,16,19,14,12,19,14,12,19,11,17,5,16,15,11,11,19,17,11,12,10,8,15,13,13,14,12,7,12,9,13,16,16,12,19,12,12,15,15,17,17,19,17,17,20,13,19,12,20,13,24,18,32,11,19,11,31,10,22,15,31,10,26,20,15,23,26,20,27,21,23,16,23,14,25,9,21,14,22,21,22,20,23,15,13,15,24,9,16,15,19,9,15,14,12,14,11,11,9,6,15,11,11,12,17,14,12,14,8,6,7,9,9,11,9,12,3,7,8,7,7,4,8,11,4,8,4,7,9,4,5,10,2,11,1,3,3,4,2,1,2,3,1,3,1,2,0,1,0,4,1,1,0,1,0,0,0,1,0,0,0,0,0,0,
10308,南投縣國姓鄉,南港村,720,1983,1142,841,7,4,8,1,3,4,6,6,1,2,4,9,3,4,9,6,4,2,4,9,14,7,9,9,11,8,14,2,3,6,7,4,9,6,8,6,15,6,13,12,12,16,12,14,15,9,14,5,13,13,9,14,11,12,12,6,12,14,10,9,14,7,14,19,12,14,15,9,15,12,16,6,17,13,18,9,20,21,15,11,18,14,20,7,13,12,21,14,28,10,23,13,17,15,22,11,34,14,26,7,32,8,23,8,17,18,18,12,30,11,13,10,21,17,24,9,17,10,21,22,12,17,17,8,20,7,15,5,15,12,13,4,2,18,9,8,9,2,12,9,12,12,14,12,10,13,11,9,11,10,11,9,12,6,5,10,5,6,9,7,13,10,5,12,2,7,9,6,7,8,4,5,2,3,0,3,0,6,8,3,0,1,0,2,1,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
10308,南投縣國姓鄉,國姓村,765,2020,1040,980,4,7,2,9,6,6,5,5,3,6,6,9,9,6,5,10,8,9,10,12,14,17,11,8,15,9,13,12,18,12,14,7,6,12,10,11,10,9,12,12,12,14,19,11,12,15,13,19,20,14,10,15,17,12,14,10,17,12,17,16,21,10,17,12,12,9,17,14,11,11,9,7,12,12,13,15,13,9,9,10,12,13,11,19,18,13,11,14,22,9,16,9,14,13,26,11,18,20,14,13,14,20,29,16,15,14,21,21,20,19,27,13,21,16,18,21,8,16,20,15,13,15,15,9,22,13,17,10,15,11,6,14,9,8,9,7,4,7,10,4,4,10,8,6,11,7,10,10,6,7,12,8,5,11,4,9,6,6,5,7,4,4,0,5,5,9,5,10,5,3,4,6,1,4,1,5,0,3,1,3,1,2,0,1,0,3,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,
10308,南投縣國姓鄉,大旗村,316,834,484,350,1,1,1,3,2,0,0,1,4,0,5,4,1,1,3,2,8,2,5,1,2,6,5,2,4,2,5,1,2,7,4,5,6,4,8,1,6,5,8,3,2,2,2,6,6,6,3,6,5,3,7,5,6,5,6,3,3,6,5,3,7,5,5,2,4,2,8,1,4,4,6,2,6,4,7,3,6,9,8,2,6,2,4,4,12,7,11,7,9,6,11,4,14,9,8,7,12,4,9,8,9,2,12,6,6,6,10,4,11,4,4,5,9,6,9,6,8,9,7,6,2,6,9,8,6,5,4,10,6,1,5,3,4,2,6,4,2,4,5,6,5,11,9,2,2,2,8,2,9,5,7,2,3,4,3,2,2,5,3,3,3,1,2,1,2,1,2,0,2,2,1,0,2,0,0,2,1,4,0,1,0,2,1,1,0,1,0,2,0,2,0,0,1,0,0,0,0,1,0,0,0,0,
10308,南投縣國姓鄉,大石村,317,876,492,384,1,3,2,6,3,3,2,1,4,3,2,1,1,2,0,4,1,2,0,1,5,4,4,7,5,4,2,3,4,4,3,2,3,4,4,4,9,8,14,7,10,5,4,7,12,8,9,5,8,5,6,6,6,6,6,4,7,4,9,5,12,7,5,5,6,5,9,2,3,5,3,4,7,4,3,3,5,6,7,4,5,5,10,5,6,8,6,6,7,2,9,6,8,5,11,6,12,4,7,2,15,9,11,6,7,5,7,11,7,5,15,4,10,8,10,3,10,6,5,4,9,3,6,4,10,2,2,3,8,6,4,6,3,8,5,5,2,5,2,2,4,4,4,1,2,1,4,3,5,1,6,5,5,6,4,2,2,7,2,3,1,2,1,1,6,2,0,4,2,3,3,2,1,4,1,1,2,1,1,1,0,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
10308,南投縣國姓鄉,柑林村,488,1367,724,643,5,2,7,2,7,5,2,4,1,4,3,2,0,2,3,4,3,3,4,5,5,7,7,6,3,3,4,4,2,4,7,7,7,11,6,10,10,10,8,13,13,7,8,12,9,12,9,1,16,9,12,10,7,12,12,4,14,6,7,8,14,9,10,7,11,11,20,7,12,10,8,10,9,14,14,12,5,7,6,5,4,5,10,7,8,8,13,6,11,6,9,11,18,5,11,6,16,6,15,10,7,17,20,11,6,13,18,11,20,12,17,3,11,13,9,10,13,15,14,7,13,10,6,6,10,11,10,9,6,3,9,5,6,7,4,7,6,9,2,8,5,4,7,3,8,2,11,6,3,7,3,13,5,8,9,9,3,6,5,7,5,2,5,6,6,8,3,4,1,5,2,2,4,4,4,2,1,1,1,2,1,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
10308,南投縣國姓鄉,石門村,755,2100,1087,1013,4,5,9,6,7,7,6,7,5,6,3,10,9,7,7,7,10,9,9,11,9,9,13,14,22,16,17,15,12,11,14,13,7,10,16,15,13,10,19,20,10,11,13,13,9,9,19,12,19,10,11,14,18,10,15,10,20,7,18,12,12,12,20,16,10,20,15,12,11,17,23,13,14,20,21,14,19,20,18,8,10,16,12,10,21,16,14,16,20,14,26,12,22,12,25,22,22,13,19,16,18,13,16,15,21,19,11,23,18,14,14,16,23,13,19,17,14,12,11,17,17,11,15,11,11,12,12,9,16,18,15,8,6,9,8,11,3,7,8,12,6,11,6,12,4,11,7,10,7,12,9,7,8,10,4,2,5,11,7,7,3,6,3,3,1,4,6,5,3,0,3,4,4,2,3,3,1,3,1,3,0,1,0,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,
10308,南投縣國姓鄉,福龜村,762,2141,1116,1025,4,4,10,14,7,7,4,6,6,3,5,9,6,2,7,5,3,5,5,3,6,6,7,2,4,11,11,6,8,8,9,12,12,7,20,10,15,14,15,16,14,18,19,13,18,16,16,14,17,18,7,20,19,11,12,11,11,16,16,14,23,11,13,15,17,17,12,12,26,17,9,12,14,11,13,15,10,12,12,9,17,9,23,13,21,15,21,16,17,17,21,25,23,8,20,14,25,24,23,19,25,16,21,20,17,14,16,27,21,13,30,21,20,9,15,13,17,15,14,16,22,14,15,8,16,11,9,10,17,5,7,9,7,13,13,8,4,6,10,7,7,14,7,15,3,13,14,8,10,17,11,9,8,13,8,11,3,9,8,11,11,5,6,10,3,13,7,5,2,5,1,6,5,5,4,1,1,1,3,0,2,3,1,1,0,2,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,
10308,南投縣國姓鄉,長流村,619,1737,928,809,7,6,7,6,8,5,3,4,6,6,6,1,2,5,3,10,8,2,6,6,9,5,8,8,15,9,10,5,9,10,9,6,12,10,5,7,10,17,15,11,14,7,15,10,13,9,11,15,13,6,12,11,17,10,18,13,15,10,10,13,13,11,8,14,17,14,12,11,12,13,17,10,14,16,15,16,12,6,10,6,16,5,12,13,26,6,11,16,14,16,17,9,18,21,9,16,25,10,17,11,25,15,20,16,17,12,12,15,23,15,19,6,15,19,16,5,12,12,10,9,3,13,7,15,16,10,12,9,13,10,10,7,8,6,2,8,8,5,3,11,5,5,11,6,3,4,8,8,6,6,6,15,2,8,4,11,5,4,5,3,7,5,5,7,1,3,5,6,3,4,1,6,2,2,1,1,0,1,2,2,1,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,
10308,南投縣國姓鄉,長福村,344,824,453,371,3,0,2,1,2,1,4,1,1,2,1,0,1,2,3,4,3,2,1,2,2,6,5,3,4,4,3,1,5,3,3,7,4,2,8,3,10,7,4,5,7,8,3,7,4,2,11,2,5,14,9,2,6,4,2,3,4,3,5,1,6,5,5,3,2,1,4,5,5,6,9,6,6,7,5,3,8,6,2,7,8,4,12,3,2,4,6,9,11,12,11,5,11,5,11,3,9,4,20,8,9,6,14,12,7,6,3,6,11,1,5,3,12,8,6,6,10,6,7,11,3,3,4,7,8,6,3,4,7,4,1,4,6,1,6,3,1,3,5,6,2,5,3,5,3,6,6,5,6,2,3,3,3,8,2,3,1,1,2,2,2,1,3,4,2,5,1,2,1,0,3,1,1,1,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,
10308,南投縣國姓鄉,長豐村,372,882,511,371,2,1,2,0,2,0,2,0,5,1,0,2,1,0,3,0,3,3,1,2,4,1,1,2,7,4,3,4,4,1,7,5,8,5,9,3,8,3,7,3,5,4,5,8,6,3,7,5,6,6,4,3,5,7,7,3,4,1,7,3,4,5,5,4,5,4,4,4,3,4,8,4,9,1,7,5,6,4,6,10,8,9,8,5,9,8,7,4,14,8,15,5,6,9,7,3,11,6,15,6,14,7,16,6,14,5,12,5,13,7,13,4,8,8,5,5,5,9,9,3,7,7,5,5,8,8,6,8,13,6,3,10,7,5,5,5,4,5,3,1,2,3,5,4,4,4,4,4,2,4,3,6,4,8,7,4,2,1,2,3,1,3,2,1,1,4,4,2,0,0,4,2,1,2,0,2,0,0,0,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,
10308,南投縣水里鄉,上安村,510,1304,693,611,2,1,3,1,2,6,1,4,4,3,1,2,4,1,4,1,1,6,7,4,2,6,5,5,4,3,7,2,7,8,5,6,7,6,7,8,13,8,4,10,15,4,14,13,12,8,9,7,8,12,14,10,3,11,11,3,12,7,9,9,10,9,10,8,5,8,4,10,10,10,8,8,15,3,11,7,9,9,8,5,5,3,10,6,11,9,10,10,15,12,12,6,12,10,10,13,14,6,18,11,18,8,9,10,15,7,14,14,16,5,15,10,11,15,18,10,12,15,12,7,10,6,13,6,12,7,11,11,4,14,7,4,5,5,11,7,3,4,3,4,6,4,6,5,5,7,4,8,3,15,4,8,5,5,6,8,2,7,3,4,2,4,5,0,5,2,4,5,3,2,1,4,3,2,1,4,0,2,0,4,0,1,1,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,
10308,南投縣水里鄉,中央村,286,727,360,367,2,0,1,1,3,2,2,2,1,5,0,3,2,2,2,4,1,4,1,4,3,4,2,1,6,1,2,1,5,2,2,2,2,5,3,3,6,5,5,2,6,4,5,4,4,8,5,3,4,2,3,2,4,4,7,4,4,5,3,8,4,9,8,3,11,8,2,4,5,9,7,7,5,3,7,5,0,5,2,3,8,2,7,6,4,2,4,7,6,3,5,6,8,4,5,7,7,9,3,4,11,3,8,5,0,5,4,5,9,9,4,4,4,10,7,6,11,10,4,6,4,7,7,8,10,4,5,4,4,6,5,4,1,4,2,2,2,5,5,5,2,3,5,3,3,4,2,4,3,5,5,0,3,1,3,4,4,4,4,1,3,6,0,5,3,3,3,1,0,1,3,3,0,1,0,0,0,2,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
10308,南投縣水里鄉,北埔村,487,1204,606,598,3,0,6,5,2,2,5,7,4,6,4,4,4,4,3,4,6,3,2,4,8,5,10,8,5,4,4,7,8,5,8,4,8,4,11,5,7,9,10,10,9,10,8,15,3,5,8,9,7,5,15,11,8,9,10,4,8,11,8,10,5,8,10,10,8,9,10,5,10,10,13,6,7,2,10,8,13,8,6,8,5,8,13,6,8,7,11,5,11,6,12,11,10,6,10,13,7,7,9,10,8,9,10,8,8,11,7,11,12,11,9,11,10,10,9,11,7,8,12,8,7,14,5,5,11,7,7,11,7,2,3,8,2,11,4,6,5,2,5,5,6,5,3,8,6,7,4,9,1,8,8,4,5,2,7,7,3,7,3,4,1,4,6,3,1,1,2,1,0,1,1,4,1,1,3,2,3,2,2,0,0,2,2,2,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
10308,南投縣水里鄉,南光村,682,1937,952,985,2,4,15,4,4,5,8,2,9,2,3,6,9,10,12,7,15,11,15,9,11,13,10,10,12,10,14,16,17,6,7,16,17,8,15,17,17,12,16,13,14,19,15,16,10,18,12,9,17,19,14,16,19,17,14,14,16,18,8,13,16,13,16,14,15,14,17,15,13,8,13,20,14,9,11,16,10,11,10,17,5,11,7,14,13,10,11,19,11,6,15,16,14,16,18,19,9,24,13,12,9,18,16,11,23,20,15,13,19,17,16,11,13,16,15,20,13,13,15,11,12,14,12,10,10,13,4,10,8,12,5,7,8,8,6,5,4,6,9,10,7,6,5,5,10,12,4,7,8,8,2,8,9,9,9,6,7,8,4,7,6,6,4,9,5,5,4,2,5,5,1,6,3,4,1,0,4,1,1,0,2,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
10308,南投縣水里鄉,城中村,462,1059,563,496,3,4,5,3,6,4,3,2,3,0,3,6,5,2,5,3,4,3,5,3,3,4,3,4,4,4,7,6,3,4,7,1,4,4,4,3,2,3,5,6,4,6,2,5,7,3,7,6,5,3,6,2,10,5,7,8,7,4,12,11,5,6,7,9,9,7,8,9,9,10,17,5,6,9,10,10,7,3,7,5,4,3,10,3,11,3,7,7,11,4,8,4,15,7,5,8,12,6,9,8,13,5,12,7,9,5,6,12,13,15,10,8,9,11,10,12,9,9,8,9,13,5,7,7,10,9,9,12,4,6,5,8,5,6,4,6,7,1,4,5,2,4,3,10,4,5,9,7,3,3,5,7,2,9,4,2,1,4,5,7,2,7,7,4,3,4,8,3,0,4,4,2,0,2,0,1,0,2,1,0,1,1,0,0,0,0,0,2,1,0,0,0,0,0,2,0,0,0,0,0,1,0,
10308,南投縣水里鄉,新城村,705,1886,1001,885,5,4,10,3,9,5,7,8,5,8,7,11,8,3,7,5,5,9,9,7,7,11,7,8,8,6,15,6,10,8,6,10,12,3,9,16,14,8,13,11,18,13,19,10,16,12,12,7,13,7,15,18,14,10,15,12,12,9,17,14,10,13,19,12,14,20,20,19,15,17,19,15,9,9,20,12,9,7,14,8,10,11,11,6,12,12,14,8,20,13,15,18,11,11,14,13,25,16,10,11,16,14,15,10,18,10,15,10,12,16,12,19,12,16,18,14,12,17,17,23,16,15,21,15,14,5,14,12,10,11,5,11,7,13,6,3,9,4,6,11,8,14,12,7,18,11,11,11,8,16,8,9,7,2,6,10,9,8,2,5,7,3,5,1,4,4,6,5,8,5,3,2,0,2,2,2,1,2,0,1,1,0,2,0,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
10308,南投縣水里鄉,新山村,92,249,136,113,1,1,0,1,1,2,1,2,1,0,1,1,0,2,1,1,0,0,2,0,1,1,2,2,1,1,0,2,0,0,1,0,0,0,5,0,0,2,0,2,1,0,1,1,0,3,4,1,3,0,4,2,4,2,2,3,0,1,3,1,1,4,2,3,1,1,2,1,0,1,2,0,4,1,2,1,2,1,1,0,1,0,4,0,1,4,4,2,1,1,3,0,3,2,3,1,2,1,2,0,5,1,3,4,2,1,5,2,1,1,1,2,2,2,2,3,4,0,3,1,2,5,2,2,1,1,2,1,4,1,3,3,0,1,0,2,1,1,0,3,1,0,2,0,1,1,2,1,0,1,0,3,0,0,1,1,0,0,1,3,0,0,0,1,1,1,0,2,1,0,0,1,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
10308,南投縣水里鄉,新興村,307,781,428,353,1,3,3,2,0,3,2,1,2,2,3,2,0,2,2,4,3,4,2,6,3,5,6,4,4,2,5,4,4,4,10,7,2,4,3,3,5,9,2,4,4,5,8,2,5,4,5,4,4,5,7,4,7,4,5,8,6,4,11,4,3,4,5,9,8,2,6,4,9,6,9,5,6,9,8,6,8,2,6,4,3,5,6,2,6,3,11,4,6,1,5,3,5,4,5,4,5,6,3,8,7,4,3,4,7,10,9,6,12,3,12,3,9,5,4,2,6,8,6,2,7,4,13,3,7,0,5,6,5,4,4,8,2,2,5,4,3,1,3,5,6,4,5,3,2,1,0,5,3,0,4,3,3,6,4,4,3,8,3,3,1,4,3,1,2,3,2,2,4,2,1,1,3,0,1,2,0,2,0,1,0,1,0,1,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,
10308,南投縣水里鄉,民和村,445,1057,609,448,2,2,3,2,5,3,1,3,2,0,1,0,1,2,0,1,6,1,2,4,3,4,3,0,3,3,7,3,4,6,3,5,8,5,4,4,4,5,4,4,4,5,4,7,6,6,4,4,5,1,3,3,6,3,12,5,5,7,8,8,9,4,5,5,9,6,10,5,10,9,8,1,9,9,4,6,11,6,11,1,4,3,9,7,6,3,8,3,12,4,14,4,11,7,14,3,9,12,10,6,8,6,11,7,14,5,10,5,14,11,18,8,6,10,18,6,8,6,16,9,8,7,9,3,11,7,16,8,9,10,10,4,5,4,8,9,6,4,3,3,3,4,7,7,9,12,8,4,8,8,3,7,7,3,10,3,4,8,2,7,5,4,3,6,4,7,5,9,4,3,4,2,3,4,0,2,0,2,1,3,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
10308,南投縣水里鄉,水里村,346,903,472,431,0,3,0,3,0,4,1,1,0,0,3,1,1,0,3,3,3,4,2,2,4,1,3,6,4,3,5,6,4,3,2,3,5,6,5,5,5,6,8,2,7,5,14,1,3,5,5,7,5,6,8,4,5,5,7,5,5,6,9,7,4,4,6,6,11,8,9,8,14,3,5,6,8,4,7,3,7,4,9,6,10,10,7,8,8,7,8,7,12,3,10,3,9,8,6,3,5,7,8,7,4,8,5,2,2,4,9,5,9,5,10,2,3,10,8,7,5,7,9,9,7,10,5,9,11,7,10,8,2,9,5,11,3,6,1,1,5,3,6,5,7,3,1,4,4,5,5,4,5,3,5,6,2,3,2,3,4,8,6,5,3,3,2,5,4,5,2,3,4,3,4,3,2,3,2,1,0,2,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
10308,南投縣水里鄉,永興村,171,400,214,186,2,0,1,3,1,1,2,1,1,0,0,0,1,0,1,2,0,2,2,3,1,1,0,0,4,2,3,3,1,2,4,0,1,2,1,4,0,3,2,1,0,4,2,4,1,2,3,1,4,1,3,5,5,3,0,3,2,2,1,3,3,0,3,2,1,3,5,1,5,5,1,1,3,3,0,0,2,1,2,2,3,1,4,2,4,1,3,4,5,2,4,3,6,3,6,3,5,1,4,3,7,2,9,2,4,1,2,1,1,4,7,3,7,9,3,2,3,3,3,2,1,3,4,2,4,2,3,3,4,1,1,1,0,3,2,1,2,1,0,0,2,3,1,4,4,3,1,3,1,1,2,2,2,2,3,2,1,1,2,3,1,1,3,2,3,1,0,1,0,0,0,6,0,0,1,2,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,
10308,南投縣水里鄉,永豐村,583,1720,880,840,6,6,5,1,8,5,5,2,1,5,5,7,9,4,4,5,6,9,9,3,6,7,8,4,7,10,12,13,14,15,6,9,10,11,13,9,18,7,14,18,9,18,12,12,13,14,15,21,10,8,17,11,7,15,11,16,14,17,16,14,20,17,21,12,26,11,16,16,17,11,20,10,17,14,9,10,11,5,11,8,11,12,7,10,9,7,13,14,10,8,17,11,11,13,13,8,12,8,14,8,15,15,23,17,12,13,12,19,18,12,14,21,13,19,12,7,10,14,15,12,15,9,8,8,13,13,14,7,12,3,8,11,7,5,3,5,2,3,4,8,7,4,7,12,5,8,7,14,6,11,3,7,3,5,2,4,4,3,4,7,2,3,2,1,2,5,2,8,3,3,0,1,2,3,6,4,3,1,0,2,1,2,1,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,
10308,南投縣水里鄉,玉峰村,396,1003,556,447,1,5,6,1,2,2,2,3,2,1,2,1,0,4,1,1,2,0,4,6,4,0,4,2,5,5,3,9,3,5,3,7,9,3,7,5,8,5,7,6,6,1,4,4,10,6,2,7,5,6,10,5,7,9,9,7,13,2,6,4,8,5,6,5,6,4,3,0,11,5,10,8,1,7,7,7,8,5,5,3,17,5,4,5,11,5,4,4,7,8,12,5,13,8,18,4,10,3,6,7,13,4,10,10,12,7,8,9,6,5,7,9,13,6,10,16,8,5,10,8,6,10,10,7,4,6,9,3,10,10,7,3,7,5,7,6,6,4,5,6,3,7,3,3,5,6,4,5,10,6,6,7,3,6,4,3,3,4,3,4,2,4,6,1,7,5,1,5,2,6,1,1,2,2,4,2,2,1,0,2,0,2,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,
10308,南投縣水里鄉,興隆村,153,341,207,134,0,0,1,2,0,0,4,1,0,0,1,1,0,1,2,1,1,0,2,0,0,0,1,0,1,1,3,1,1,0,1,0,0,0,2,2,2,0,2,0,2,1,1,3,2,1,1,1,2,0,2,2,3,1,1,1,2,1,1,1,3,1,4,4,3,2,1,1,4,2,2,1,3,2,7,0,5,1,1,3,6,1,0,0,4,0,4,1,5,0,7,1,1,1,1,1,5,2,2,4,5,1,4,1,8,1,3,3,4,4,6,1,4,2,2,3,5,2,4,2,6,4,2,4,4,1,5,6,2,1,3,5,3,1,0,1,1,1,3,1,2,6,0,2,0,2,5,2,1,1,3,1,1,4,1,1,0,1,2,0,0,1,1,4,0,1,0,4,0,2,3,0,2,1,0,0,1,2,0,1,2,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,
10308,南投縣水里鄉,車埕村,243,532,295,237,1,1,0,3,1,1,2,0,1,1,0,3,1,0,3,0,0,1,2,0,4,0,1,2,0,1,2,1,2,3,3,0,4,4,1,4,4,1,5,4,2,4,2,3,0,4,5,1,4,3,3,3,3,3,1,3,5,3,8,3,6,2,1,4,5,1,6,1,1,1,1,7,1,3,4,1,2,1,4,2,4,3,3,3,8,4,8,2,5,3,7,6,5,5,7,2,7,0,7,5,6,5,6,4,6,3,4,4,4,3,7,3,13,3,6,5,5,2,2,4,3,7,1,2,5,4,4,4,4,3,4,4,3,1,2,3,0,1,2,3,3,2,2,2,3,2,3,3,3,1,6,2,4,4,1,1,1,5,2,8,2,2,1,4,4,3,2,0,3,3,1,3,1,3,0,1,0,0,1,2,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,
10308,南投縣水里鄉,農富村,223,565,287,278,0,3,1,1,3,5,0,1,1,2,1,0,2,1,2,1,2,1,1,3,3,3,3,0,3,5,1,2,0,3,1,1,3,2,1,2,2,2,3,0,1,2,7,2,4,6,3,6,6,4,1,6,3,0,4,2,1,3,3,6,6,6,7,1,4,4,9,4,5,2,3,2,7,2,3,5,3,4,4,6,5,0,3,7,6,5,2,4,3,3,9,5,3,4,4,0,4,3,3,1,5,3,1,6,2,5,5,2,6,6,2,2,6,6,7,3,5,4,7,6,6,5,7,7,2,3,8,5,2,7,2,6,5,4,4,3,2,5,5,4,3,1,1,1,3,4,7,6,5,5,1,3,2,0,2,1,1,1,3,0,1,3,2,2,4,3,1,2,1,4,1,3,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
